,CustomerID,Recency,Frequency,Monetary,R,F,M,RFM,Loyalty
0,12346.0,325,2,0.0,4,4,4,12,Bronze
1,12347.0,2,182,4310.000000000001,1,1,1,3,Platinum
2,12348.0,75,31,1797.24,3,3,1,7,Diamond
3,12349.0,18,73,1757.5500000000002,2,2,1,5,Platinum
4,12350.0,310,17,334.40000000000003,4,4,3,11,Bronze
5,12352.0,36,95,1545.4100000000005,2,2,2,6,Diamond
6,12353.0,204,4,89.0,4,4,4,12,Bronze
7,12354.0,232,58,1079.3999999999999,4,2,2,8,Gold
8,12355.0,214,13,459.4,4,4,3,11,Bronze
9,12356.0,22,59,2811.43,2,2,1,5,Platinum
10,12357.0,33,131,6207.67,2,1,1,4,Platinum
11,12358.0,1,19,1168.06,1,3,2,6,Diamond
12,12359.0,7,251,6182.98,1,1,1,3,Platinum
13,12360.0,52,129,2662.06,3,1,1,5,Platinum
14,12361.0,287,10,189.89999999999998,4,4,4,12,Bronze
15,12362.0,3,274,5154.58,1,1,1,3,Platinum
16,12363.0,109,23,552.0,3,3,3,9,Gold
17,12364.0,7,85,1313.1000000000001,1,2,2,5,Platinum
18,12365.0,291,23,320.68999999999994,4,3,3,10,Silver
19,12367.0,4,11,168.89999999999998,1,4,4,9,Gold
20,12370.0,51,166,3541.94,3,1,1,5,Platinum
21,12371.0,44,63,1887.96,2,2,1,5,Platinum
22,12372.0,71,52,1298.0400000000002,3,2,2,7,Diamond
23,12373.0,311,14,364.6,4,4,3,11,Bronze
24,12374.0,25,33,742.93,2,3,2,7,Diamond
25,12375.0,2,18,455.42,1,3,3,7,Diamond
26,12377.0,315,77,1628.12,4,2,1,7,Diamond
27,12378.0,129,219,4008.62,3,1,1,5,Platinum
28,12379.0,81,41,850.29,3,3,2,8,Gold
29,12380.0,21,105,2720.56,2,1,1,4,Platinum
30,12381.0,4,91,1803.96,1,2,1,4,Platinum
31,12383.0,184,100,1839.3100000000002,4,1,1,6,Diamond
32,12384.0,28,30,566.16,2,3,3,8,Gold
33,12386.0,337,10,401.9,4,4,3,11,Bronze
34,12388.0,15,100,2780.6600000000003,1,1,1,3,Platinum
35,12390.0,79,32,549.84,3,3,3,9,Gold
36,12391.0,21,93,439.66,2,2,3,7,Diamond
37,12393.0,72,64,1582.6000000000001,3,2,2,7,Diamond
38,12394.0,63,27,1272.48,3,3,2,8,Gold
39,12395.0,15,159,2998.28,1,1,1,3,Platinum
40,12397.0,35,126,2409.9000000000005,2,1,1,4,Platinum
41,12398.0,45,85,1635.6599999999999,2,2,1,5,Platinum
42,12399.0,119,59,1108.65,3,2,2,7,Diamond
43,12401.0,303,5,84.3,4,4,4,12,Bronze
44,12402.0,323,11,225.6,4,4,4,12,Bronze
45,12403.0,49,6,409.7,2,4,3,9,Gold
46,12405.0,148,54,1710.3900000000003,4,2,1,7,Diamond
47,12406.0,22,108,3280.7500000000005,2,1,1,4,Platinum
48,12407.0,49,77,1708.1199999999997,2,2,1,5,Platinum
49,12408.0,32,113,2842.57,2,1,1,4,Platinum
50,12409.0,78,114,11056.93,3,1,1,5,Platinum
51,12410.0,301,28,681.0799999999999,4,3,2,9,Gold
